frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
0,678.38,257.235,0.919444,660.723,415.812,0.775708,543.183,421.737,0.62074,539.221,639.18,0.764413,601.915,715.645,0.120068,774.325,409.931,0.666901,791.981,619.588,0.80694,0,0,0,674.454,715.597,0.242456,617.631,715.613,0.165383,0,0,0,0,0,0,731.272,715.601,0.226395,0,0,0,0,0,0,650.87,229.753,0.903652,701.911,241.389,0.877303,601.973,253.215,0.889589,727.275,268.858,0.758559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,678.393,257.227,0.917389,660.712,415.81,0.775452,543.177,423.671,0.623799,539.248,641.12,0.771821,601.986,715.646,0.109722,774.329,408.021,0.658133,791.949,619.611,0.801732,758.685,715.654,0.0672268,676.387,715.593,0.270193,617.658,715.609,0.189511,0,0,0,0,0,0,731.288,715.594,0.249888,0,0,0,0,0,0,650.866,229.769,0.899683,701.893,241.387,0.87959,601.931,253.201,0.885478,725.411,268.887,0.75416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,680.221,257.22,0.92631,660.721,415.828,0.772877,543.161,423.675,0.625526,539.26,639.207,0.767939,601.996,715.644,0.117482,774.318,409.981,0.668063,791.927,619.571,0.785155,758.744,715.653,0.0562878,672.507,715.597,0.259941,617.652,715.611,0.178537,0,0,0,0,0,0,729.338,715.597,0.239054,0,0,0,0,0,0,650.868,229.773,0.901991,703.814,241.394,0.877979,601.939,255.13,0.898355,727.262,268.901,0.766905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,680.201,257.206,0.921143,660.759,415.801,0.779294,543.19,423.655,0.62517,539.279,639.187,0.768145,601.969,715.646,0.104891,774.367,409.925,0.673311,791.984,619.568,0.795995,0,0,0,674.438,715.597,0.263192,617.612,715.612,0.173971,0,0,0,0,0,0,731.253,715.598,0.233643,0,0,0,0,0,0,649.052,229.781,0.895774,701.899,241.387,0.879585,601.986,253.246,0.895188,727.24,268.894,0.779838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,680.232,257.188,0.927063,660.758,415.799,0.780896,543.2,421.746,0.621511,539.284,637.237,0.781157,601.983,715.646,0.125862,774.348,408.03,0.657613,791.972,619.564,0.797412,758.721,715.654,0.0587951,674.427,715.59,0.277282,617.59,715.606,0.212349,0,0,0,0,0,0,729.323,715.595,0.258492,0,0,0,0,0,0,650.862,229.798,0.891773,701.92,241.372,0.871841,601.983,255.123,0.899091,727.248,268.896,0.772959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,680.256,257.191,0.933887,662.649,415.828,0.779321,543.193,423.664,0.62497,539.291,639.157,0.770092,601.957,715.645,0.129952,774.362,409.954,0.670306,791.977,619.563,0.793488,758.728,715.653,0.0591367,674.414,715.591,0.283726,617.606,715.607,0.207915,0,0,0,0,0,0,729.302,715.594,0.263184,0,0,0,0,0,0,650.877,229.797,0.892946,701.895,241.377,0.873252,602.019,255.132,0.901713,727.267,266.932,0.77796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,680.284,257.176,0.938276,662.661,415.816,0.782578,545.139,421.742,0.617231,539.303,637.274,0.77233,603.877,715.644,0.121222,774.359,409.982,0.677738,791.96,619.588,0.779464,758.739,715.652,0.0537493,674.463,715.591,0.268161,617.625,715.605,0.193858,0,0,0,0,0,0,729.343,715.595,0.253425,0,0,0,0,0,0,650.901,229.788,0.896396,703.828,241.367,0.872884,602.024,255.154,0.904878,727.303,268.916,0.749986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,680.313,257.202,0.941161,662.691,415.85,0.778806,545.127,423.693,0.618606,539.299,637.265,0.773522,601.937,715.646,0.110488,774.388,411.868,0.680567,791.93,619.555,0.774112,758.716,715.653,0.056183,676.37,715.589,0.279508,617.642,715.604,0.202806,0,0,0,0,0,0,731.232,715.592,0.260393,0,0,0,0,0,0,650.958,229.768,0.895853,705.764,241.391,0.877375,602.029,255.171,0.905421,727.345,270.79,0.766792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,680.366,257.17,0.941352,662.65,415.858,0.770129,545.113,425.595,0.619234,539.329,637.255,0.778471,603.87,715.645,0.113514,774.385,411.857,0.670033,791.931,619.541,0.784551,758.749,715.652,0.05283,674.443,715.594,0.266444,617.61,715.613,0.177133,0,0,0,0,0,0,731.279,715.596,0.2483,0,0,0,0,0,0,650.996,229.766,0.890443,705.786,241.375,0.876184,603.878,257.038,0.919533,727.37,266.957,0.712587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,680.4,257.176,0.931811,662.669,415.853,0.781172,545.153,423.694,0.613167,539.179,639.161,0.771896,605.86,715.643,0.125395,776.271,411.9,0.67932,791.971,619.573,0.791474,0,0,0,672.474,715.598,0.245702,615.659,715.616,0.161369,0,0,0,0,0,0,729.343,715.599,0.232001,0,0,0,0,0,0,652.866,229.8,0.872123,707.728,241.404,0.867898,603.939,257.043,0.908342,729.223,268.86,0.678025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,682.255,257.171,0.925972,662.712,415.879,0.778487,545.18,425.606,0.615962,533.408,641.152,0.729567,615.648,715.643,0.1229,776.277,411.885,0.666175,791.99,619.585,0.803046,0,0,0,670.496,715.601,0.239327,611.76,715.617,0.138282,0,0,0,0,0,0,729.308,715.6,0.225743,0,0,0,0,0,0,652.967,229.797,0.846653,709.626,241.424,0.882094,603.997,255.204,0.894751,727.42,270.802,0.701579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
