frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
0,580.433,333.59,0.85453,594.1,472.66,0.71866,474.589,478.546,0.650303,364.841,635.309,0.783832,0,0,0,717.577,460.913,0.667794,825.359,643.075,0.741215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.845,315.908,0.876258,603.891,306.066,0.938431,525.526,345.329,0.875468,641.133,325.682,0.842408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,580.37,333.588,0.850878,596.071,470.717,0.716705,474.637,478.515,0.656315,360.999,635.344,0.764818,388.448,715.638,0.0533097,717.568,460.875,0.666728,825.312,643.072,0.754967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.82,317.794,0.872603,602.032,306.074,0.940179,525.539,347.223,0.872883,641.117,323.811,0.849811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,580.41,335.421,0.854522,597.999,472.605,0.719355,476.534,478.51,0.664562,360.996,635.261,0.784069,392.347,715.641,0.0523812,719.472,460.889,0.659759,825.339,645.054,0.75171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.835,317.81,0.880521,602.031,306.097,0.93906,525.531,347.217,0.872245,641.1,323.771,0.858673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,580.393,335.45,0.862671,598.002,472.601,0.721747,476.556,478.507,0.667525,360.949,633.372,0.785988,396.184,715.641,0.0671164,719.5,460.871,0.662668,825.367,646.991,0.762201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.841,317.886,0.896275,602.018,306.119,0.937107,525.571,349.154,0.879138,641.119,323.806,0.853056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,580.432,335.532,0.870606,598.031,470.691,0.724654,476.568,478.504,0.675717,355.093,635.194,0.801023,398.107,715.65,0.0512813,721.431,460.891,0.662605,825.345,645.079,0.756432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.009,319.742,0.900124,601.991,306.131,0.935877,525.531,349.16,0.88642,641.124,323.796,0.856253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,580.406,335.587,0.873289,598.038,470.711,0.72291,476.569,478.523,0.667075,353.143,635.335,0.789522,400.246,715.648,0.0663593,721.432,460.886,0.662174,825.306,645.015,0.752177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.997,319.797,0.907995,601.97,306.193,0.925115,525.512,347.271,0.879469,641.104,323.757,0.863491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,580.437,337.419,0.874879,598.037,470.705,0.72677,476.592,478.536,0.66706,353.114,635.317,0.755138,411.869,715.643,0.119499,721.427,460.869,0.657462,825.29,641.163,0.75273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.998,319.881,0.924752,601.955,306.228,0.917966,525.517,349.206,0.896495,641.108,323.759,0.861576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,580.438,337.472,0.873835,598.03,472.609,0.726006,476.559,478.575,0.658907,351.252,633.322,0.750363,427.554,715.642,0.19829,721.429,460.87,0.656659,825.273,645.047,0.755749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.003,319.919,0.921295,601.941,308.082,0.907179,525.487,349.167,0.893794,641.11,323.754,0.859086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,580.438,337.519,0.865568,598.016,470.713,0.721965,476.57,478.558,0.664135,351.124,633.276,0.674409,427.574,715.6,0.560656,721.435,460.873,0.658425,825.294,645.051,0.756182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.99,321.747,0.924453,601.91,308.16,0.885764,525.47,349.209,0.900884,641.099,323.79,0.856212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,582.334,339.455,0.837905,598.02,470.72,0.72533,476.586,478.524,0.674831,351.135,629.373,0.59704,411.936,682.278,0.588473,719.525,460.883,0.658288,825.282,645.048,0.75612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.968,321.812,0.91549,601.909,313.926,0.870682,523.673,349.196,0.896322,639.219,323.768,0.85976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
