frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
0,515.907,218.325,0.8416,517.426,306.009,0.738393,407.835,307.557,0.650803,331.067,467.31,0.665103,428.19,421.947,0.619932,624.016,301.305,0.610452,699.237,478.3,0.468639,694.555,443.831,0.563992,531.546,572.342,0.0640304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.737,193.12,0.842219,540.995,193.186,0.86095,451.708,194.827,0.683422,569.175,196.373,0.57535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,515.91,218.259,0.834496,517.496,307.539,0.743719,407.858,310.694,0.630811,335.775,479.837,0.633535,406.247,428.158,0.652682,625.554,302.867,0.619762,708.597,464.215,0.598887,667.848,440.722,0.466921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.735,191.629,0.825228,540.967,193.133,0.844571,453.24,196.37,0.667986,569.198,194.813,0.63831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,517.495,218.193,0.841757,515.935,307.568,0.72112,407.866,313.837,0.616265,343.609,484.559,0.700825,382.781,439.14,0.487913,622.469,302.86,0.619179,702.344,467.342,0.593524,635.004,434.505,0.46506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.875,191.609,0.839676,541.008,191.657,0.846615,454.804,196.365,0.701358,569.208,194.816,0.643563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,519.018,218.179,0.857759,518.989,307.583,0.734758,410.936,315.399,0.600512,356.08,487.726,0.542551,368.651,447.003,0.472717,624.03,302.87,0.622555,700.767,457.992,0.692627,630.3,434.467,0.68551,520.67,572.342,0.0528324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.43,191.615,0.860473,542.573,191.615,0.859596,456.348,196.35,0.728319,570.696,196.336,0.611568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,519.018,218.179,0.857764,518.989,307.583,0.734763,410.936,315.399,0.600515,356.08,487.726,0.542586,368.651,447.003,0.472713,624.03,302.871,0.622556,700.768,457.992,0.692616,630.3,434.467,0.685503,520.67,572.342,0.0528366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.43,191.615,0.860467,542.573,191.614,0.859579,456.348,196.35,0.728309,570.696,196.336,0.611486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,523.779,205.654,0.829937,520.683,315.408,0.731698,417.187,320.117,0.630148,370.288,457.997,0.778035,384.297,519.087,0.690849,628.719,305.963,0.644206,680.428,468.879,0.746748,633.4,572.352,0.133712,514.333,572.336,0.0639013,443.863,572.331,0.0677417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.103,180.657,0.897784,545.654,180.631,0.911073,464.193,194.767,0.70965,570.776,191.65,0.549546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,525.304,194.834,0.835668,520.693,315.384,0.721583,417.182,320.104,0.632467,368.687,457.969,0.641514,370.221,473.629,0.314282,630.235,305.973,0.641052,681.935,467.365,0.746562,633.434,572.351,0.122561,515.92,572.338,0.065995,450.119,572.335,0.0699543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.124,174.383,0.856078,545.674,171.265,0.882645,461.081,194.739,0.695518,570.76,191.637,0.543208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,520.684,190.056,0.837397,522.194,316.923,0.711117,417.21,320.089,0.627615,368.698,486.154,0.560467,370.231,420.38,0.111775,630.251,306.032,0.616949,681.959,467.32,0.745368,633.44,572.352,0.124599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.558,168.148,0.935306,544.068,168.057,0.889876,461.065,193.162,0.687459,569.23,190.061,0.568829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,519.074,182.275,0.910667,522.185,315.367,0.698697,415.674,318.499,0.612531,373.336,479.851,0.646341,356.072,425.056,0.187107,630.291,306.015,0.609695,681.978,468.847,0.758246,635.007,572.358,0.0856494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.998,166.513,0.898453,542.502,163.416,0.834561,458.03,191.619,0.690651,570.698,190.07,0.596889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,518.974,180.731,0.904072,523.726,313.816,0.677626,417.199,316.957,0.571025,367.061,478.309,0.702626,351.427,396.832,0.399398,630.299,306.001,0.617326,682.024,468.869,0.768215,636.54,572.356,0.103978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.429,163.409,0.85157,539.431,158.78,0.843253,458.025,191.652,0.690052,570.708,191.639,0.653691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
