frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
0,537.853,255.916,0.865511,533.128,356.154,0.786037,432.926,365.493,0.600413,359.238,520.586,0.753568,415.615,439.169,0.720767,630.304,348.292,0.661406,691.393,508.055,0.737159,595.761,409.386,0.776243,522.186,572.332,0.174338,454.832,572.335,0.143881,0,0,0,0,0,0,581.703,572.339,0.148941,0,0,0,0,0,0,514.328,233.952,0.849452,558.274,233.95,0.875055,481.397,255.829,0.878346,584.826,254.311,0.671072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,545.714,257.463,0.900925,533.11,357.689,0.791605,434.439,363.96,0.622337,395.259,508.041,0.807313,443.869,572.35,0.502146,631.802,354.508,0.680564,660.036,501.809,0.746296,617.769,572.363,0.0733246,526.877,572.343,0.118585,475.187,572.35,0.06981,0,0,0,0,0,0,581.698,572.347,0.100186,0,0,0,0,0,0,520.674,235.531,0.869631,567.623,237.077,0.849616,483.077,255.814,0.902227,586.424,255.876,0.67045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,545.708,259.038,0.877245,533.108,357.694,0.79751,432.92,365.52,0.630675,395.268,503.355,0.788754,443.854,572.332,0.708639,631.792,354.519,0.684091,660.107,498.681,0.742272,617.735,572.364,0.0549592,523.756,572.339,0.156015,470.495,572.336,0.10654,0,0,0,0,0,0,573.887,572.346,0.100422,0,0,0,0,0,0,520.672,240.158,0.879359,567.621,240.157,0.85395,483.078,255.831,0.904833,586.438,257.394,0.647919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,545.708,259.037,0.877285,533.106,357.692,0.798707,432.919,365.523,0.6323,395.266,503.354,0.788608,443.854,572.332,0.709009,631.793,354.523,0.684947,660.103,498.672,0.744704,617.74,572.364,0.0565861,523.769,572.338,0.158179,470.503,572.336,0.10718,0,0,0,0,0,0,573.894,572.346,0.102233,0,0,0,0,0,0,520.672,240.159,0.87951,567.619,240.158,0.853893,483.078,255.827,0.904838,586.437,257.383,0.649058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,545.725,263.707,0.864127,533.128,357.667,0.80125,434.439,365.507,0.627799,393.678,501.825,0.694911,437.593,544.142,0.493237,630.289,352.963,0.665785,663.204,497.158,0.729396,617.754,572.365,0.0557488,528.468,572.345,0.117262,467.36,572.343,0.0835854,0,0,0,0,0,0,578.574,572.349,0.0772162,0,0,0,0,0,0,520.686,241.732,0.895057,567.585,240.196,0.853817,483.088,255.841,0.908873,584.899,257.391,0.641499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,545.764,266.796,0.858685,533.136,356.18,0.804088,434.437,363.933,0.619271,389.046,512.799,0.578376,448.567,504.925,0.281261,630.28,351.426,0.662663,666.32,497.148,0.743811,617.754,572.368,0.0548965,525.328,572.34,0.142422,456.376,572.34,0.154568,0,0,0,0,0,0,573.903,572.347,0.0813777,0,0,0,0,0,0,522.187,243.295,0.906913,567.618,243.254,0.883942,483.086,255.906,0.910437,584.894,257.407,0.579601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,547.298,268.367,0.871275,533.096,357.688,0.785251,432.926,365.515,0.615047,384.309,522.166,0.683352,432.864,472.051,0.650003,631.781,351.445,0.665276,666.32,497.163,0.74136,0,0,0,519.083,572.347,0.0670167,453.251,572.345,0.089377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522.204,243.384,0.904902,569.131,243.304,0.913047,483.065,257.392,0.917208,586.419,257.496,0.594546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,548.832,269.915,0.866283,533.143,357.765,0.779383,432.934,368.603,0.620963,382.758,522.18,0.716173,426.623,454.804,0.679588,630.275,352.988,0.66842,664.743,500.236,0.720673,617.742,572.366,0.0630622,523.767,572.341,0.117732,456.362,572.342,0.137768,0,0,0,0,0,0,577.022,572.345,0.0850582,0,0,0,0,0,0,523.741,244.907,0.88841,569.15,244.857,0.929206,483.07,257.476,0.906204,586.418,263.673,0.613991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,548.819,269.912,0.866685,533.143,357.762,0.778066,432.939,368.597,0.617906,382.76,522.173,0.720117,426.606,454.811,0.679129,630.278,352.99,0.668251,664.739,500.238,0.719771,617.745,572.365,0.0624207,523.756,572.341,0.110541,454.833,572.342,0.13442,0,0,0,0,0,0,577.027,572.346,0.0766904,0,0,0,0,0,0,523.741,244.913,0.887067,569.149,244.856,0.928991,483.071,257.476,0.907134,586.414,262.139,0.610924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,550.379,270.002,0.85228,533.201,357.671,0.780856,434.472,367.053,0.596649,382.761,520.632,0.728002,428.174,440.723,0.726682,630.271,351.442,0.669844,661.63,497.16,0.740355,619.27,572.362,0.0724472,520.661,572.346,0.0955961,451.672,572.346,0.137428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.296,246.449,0.872832,569.164,244.926,0.922125,483.069,257.513,0.897277,586.401,262.134,0.604224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
