frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
0,511.241,284.037,0.859684,519.013,368.688,0.845955,442.313,368.635,0.728523,406.299,497.12,0.649688,440.702,572.363,0.196916,594.242,368.711,0.724212,619.361,508.078,0.8014,594.165,434.474,0.846336,514.333,572.348,0.104662,457.94,572.353,0.0552236,0,0,0,0,0,0,567.609,572.345,0.167793,0,0,0,0,0,0,495.503,268.332,0.940696,531.575,268.412,0.947288,470.506,277.762,0.875606,556.572,279.325,0.864869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,506.586,285.628,0.885956,512.789,371.81,0.766822,437.602,371.761,0.707261,406.216,495.58,0.716953,450.102,572.362,0.254501,591.115,371.835,0.701929,611.463,503.361,0.683562,548.81,572.363,0.209965,497.12,572.351,0.126079,454.78,572.362,0.0807504,0,0,0,0,0,0,548.827,572.36,0.0743076,0,0,0,0,0,0,489.299,268.45,0.895719,523.748,269.932,0.910169,467.347,279.325,0.866245,545.724,279.38,0.893853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,506.567,285.602,0.891098,512.772,370.283,0.797654,437.609,370.234,0.718562,406.23,495.573,0.704984,448.556,572.362,0.27676,591.127,371.77,0.715965,609.936,501.818,0.695322,547.28,572.364,0.213877,497.105,572.354,0.121235,453.223,572.363,0.0762524,0,0,0,0,0,0,548.839,572.359,0.0796738,0,0,0,0,0,0,489.277,268.432,0.901233,522.243,269.93,0.91781,467.344,279.351,0.867286,545.69,280.867,0.90716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,506.564,284.111,0.89646,512.772,371.776,0.780227,437.591,370.27,0.714713,406.249,495.555,0.692353,448.533,572.362,0.274779,591.122,371.809,0.706007,609.95,503.397,0.70231,547.231,572.363,0.246365,495.58,572.352,0.133848,443.863,572.358,0.109661,0,0,0,0,0,0,547.249,572.363,0.0695814,0,0,0,0,0,0,489.266,268.424,0.901838,522.243,269.918,0.915745,467.343,279.343,0.862905,545.684,280.847,0.906878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,506.558,284.1,0.902006,512.78,370.285,0.792203,437.613,370.234,0.717841,406.217,494.024,0.683498,448.535,572.361,0.313674,591.101,371.777,0.709986,609.945,503.354,0.695677,548.842,572.362,0.230904,497.149,572.348,0.147621,446.978,572.357,0.121046,0,0,0,0,0,0,547.275,572.358,0.0989169,0,0,0,0,0,0,489.254,268.442,0.90297,522.237,269.928,0.918618,467.351,279.347,0.87005,545.692,280.856,0.907605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,506.563,284.113,0.897033,512.773,370.292,0.792103,437.593,370.258,0.721524,406.235,497.128,0.698501,448.583,572.362,0.294595,591.097,371.767,0.711656,609.936,503.384,0.687753,548.824,572.361,0.244809,497.106,572.35,0.14727,446.978,572.358,0.125337,0,0,0,0,0,0,545.706,572.361,0.0891118,0,0,0,0,0,0,489.269,268.433,0.903683,522.244,269.924,0.916569,467.328,279.318,0.857081,545.683,280.896,0.91332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,506.567,285.598,0.890785,512.768,370.293,0.791772,437.607,370.249,0.719054,406.228,495.594,0.694939,448.566,572.362,0.29644,591.079,371.77,0.710071,609.929,504.916,0.699501,547.254,572.364,0.205363,495.544,572.352,0.143133,443.864,572.357,0.118525,0,0,0,0,0,0,545.689,572.361,0.0833918,0,0,0,0,0,0,489.281,268.424,0.901246,523.735,269.919,0.909293,467.358,279.338,0.866401,545.687,280.861,0.905736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,506.579,285.596,0.890176,512.761,371.79,0.777658,437.592,370.285,0.712922,406.244,497.123,0.681971,450.108,572.362,0.272651,591.126,371.817,0.708028,609.936,504.931,0.705057,547.277,572.363,0.241997,495.586,572.35,0.145522,443.852,572.358,0.108557,0,0,0,0,0,0,547.243,572.358,0.0938963,0,0,0,0,0,0,489.274,268.433,0.900013,523.738,269.924,0.909496,467.35,279.365,0.872012,545.696,279.384,0.900903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,508.011,285.61,0.886356,512.784,371.79,0.773083,437.585,370.263,0.717671,406.285,495.582,0.700916,448.533,572.362,0.288187,591.133,371.842,0.699358,609.973,506.463,0.692028,548.84,572.361,0.258978,495.603,572.346,0.1817,446.981,572.357,0.134749,0,0,0,0,0,0,544.105,572.354,0.151288,0,0,0,0,0,0,489.3,268.426,0.898924,523.749,269.925,0.906556,467.381,279.354,0.875729,545.693,280.867,0.906807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,506.581,285.632,0.881665,512.778,371.791,0.773358,437.6,370.236,0.719817,406.263,495.553,0.694288,448.54,572.362,0.279089,591.117,373.351,0.693847,611.467,508.039,0.727475,544.12,572.363,0.270053,497.144,572.345,0.192293,451.684,572.358,0.13725,0,0,0,0,0,0,544.102,572.352,0.151998,0,0,0,0,0,0,489.276,268.438,0.89736,523.745,269.938,0.908453,467.379,279.347,0.874723,545.7,280.876,0.903313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
