frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
0,517.427,262.153,0.825027,519.06,352.972,0.769533,445.419,357.651,0.658401,401.529,500.234,0.670521,410.965,379.588,0.696856,594.293,343.64,0.705295,613.03,495.538,0.660582,547.254,572.362,0.217396,514.346,572.336,0.212157,450.131,572.337,0.240353,0,0,0,0,0,0,561.357,572.341,0.174965,0,0,0,0,0,0,495.538,243.352,0.9672,531.603,241.769,0.930286,470.492,254.279,0.901612,555.086,244.883,0.811211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,511.198,255.822,0.897879,520.694,346.745,0.792196,445.394,346.766,0.711556,423.505,475.19,0.583119,432.847,555.041,0.669708,602.1,346.773,0.674994,628.684,495.541,0.636933,580.127,572.368,0.122331,515.905,572.345,0.152943,462.661,572.343,0.187183,0,0,0,0,0,0,569.182,572.354,0.109246,0,0,0,0,0,0,494.054,243.247,0.964805,531.497,237.077,0.873724,478.294,258.961,0.816063,556.716,251.172,0.893737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,509.686,255.798,0.888886,520.682,346.748,0.784788,445.384,348.27,0.704729,425.044,472.054,0.602519,432.894,555.044,0.667692,602.053,346.725,0.667532,630.226,494.024,0.67424,578.583,572.365,0.151859,511.234,572.348,0.137012,461.104,572.345,0.196136,0,0,0,0,0,0,570.75,572.357,0.0829926,0,0,0,0,0,0,494.028,241.764,0.95069,530.031,235.534,0.871725,476.748,257.451,0.798844,556.695,251.16,0.894689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,509.645,255.772,0.883994,520.677,349.844,0.769827,445.381,349.844,0.696536,423.476,475.165,0.602849,432.979,556.638,0.561504,602.102,348.304,0.663064,630.231,495.577,0.688979,578.562,572.361,0.175863,512.775,572.351,0.0923789,461.074,572.349,0.144215,0,0,0,0,0,0,570.715,572.362,0.0573547,0,0,0,0,0,0,494.015,241.739,0.942204,530.015,235.507,0.872661,476.734,257.43,0.775891,556.693,251.139,0.892625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,508.162,255.781,0.895477,520.672,349.859,0.772079,445.374,351.396,0.693813,421.91,473.604,0.605887,432.946,556.613,0.584063,603.613,348.282,0.671278,630.232,495.56,0.676131,575.471,572.363,0.182005,512.782,572.349,0.115802,457.982,572.345,0.188661,0,0,0,0,0,0,570.72,572.362,0.0707702,0,0,0,0,0,0,493.988,241.708,0.930816,529.984,235.501,0.865369,476.74,257.453,0.738465,556.668,251.144,0.889965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,508.121,255.792,0.912512,520.646,349.834,0.779072,445.366,351.398,0.693296,420.323,472.049,0.621076,432.902,556.636,0.66731,602.053,346.759,0.662235,630.244,493.96,0.681867,577.013,572.359,0.237122,512.769,572.349,0.110879,457.971,572.347,0.177253,0,0,0,0,0,0,570.738,572.363,0.0771646,0,0,0,0,0,0,493.949,241.699,0.917061,528.459,237.031,0.85112,473.633,257.414,0.78058,556.643,251.14,0.883906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,508.11,255.812,0.920103,520.652,349.857,0.782531,443.904,351.444,0.688282,420.372,472.03,0.584577,432.878,558.252,0.632434,600.534,348.289,0.656101,630.297,493.938,0.698441,577.008,572.361,0.201015,514.363,572.349,0.103139,461.099,572.349,0.145638,0,0,0,0,0,0,570.778,572.361,0.0686265,0,0,0,0,0,0,493.94,241.704,0.915174,528.456,237.08,0.847868,473.619,257.442,0.799656,556.632,252.691,0.887318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,508.131,255.849,0.925017,520.655,351.412,0.784092,443.862,352.998,0.693198,420.378,472.031,0.625845,431.371,558.191,0.684747,602.082,349.84,0.651284,628.712,495.534,0.654469,577.008,572.363,0.165635,511.205,572.347,0.116003,461.069,572.344,0.184912,0,0,0,0,0,0,570.718,572.361,0.066442,0,0,0,0,0,0,493.949,241.72,0.920346,528.472,238.608,0.848122,473.591,257.465,0.820673,556.613,252.712,0.888647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,508.154,255.878,0.926153,520.634,351.412,0.788262,443.851,352.991,0.692977,420.342,476.739,0.600286,431.27,558.235,0.652308,598.972,348.297,0.66318,627.142,495.607,0.644685,578.55,572.364,0.141121,517.452,572.347,0.092061,464.205,572.343,0.154619,0,0,0,0,0,0,570.755,572.361,0.0622508,0,0,0,0,0,0,493.97,241.744,0.929847,529.963,240.182,0.857903,472.094,257.434,0.843912,556.614,252.739,0.891274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,509.622,255.843,0.908583,520.618,349.865,0.793914,443.853,353.01,0.694017,418.789,479.863,0.601584,423.495,556.687,0.683802,598.96,348.269,0.660451,625.572,497.107,0.657262,580.147,572.364,0.119744,519.069,572.347,0.112384,468.88,572.345,0.156066,0,0,0,0,0,0,572.296,572.355,0.0816373,0,0,0,0,0,0,493.992,241.747,0.937736,529.99,240.218,0.869702,472.09,257.456,0.846342,556.616,254.309,0.911291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
