frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
0,523.756,188.482,0.804683,520.658,327.901,0.738261,420.332,320.145,0.634684,351.433,481.48,0.713511,382.789,572.354,0.0846042,631.791,332.593,0.687664,669.41,489.281,0.659199,652.202,572.341,0.217623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.712,169.742,0.880509,547.308,168.197,0.901305,470.566,196.354,0.731906,578.589,202.57,0.824389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,523.786,183.831,0.832522,520.678,324.811,0.731637,420.332,320.091,0.654583,351.445,482.969,0.721969,382.757,572.355,0.0729711,631.783,331.098,0.697733,667.895,487.696,0.649107,652.231,572.34,0.219123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.236,169.645,0.891528,548.799,168.13,0.903621,472.062,197.869,0.726879,578.581,202.563,0.823655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,523.783,183.829,0.833955,520.675,324.81,0.732845,420.332,320.093,0.653638,351.445,482.972,0.721843,382.758,572.356,0.0731123,631.782,331.097,0.697878,667.897,487.695,0.648777,652.22,572.34,0.226271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.234,169.643,0.891903,548.8,168.129,0.903587,472.06,197.888,0.728114,578.583,202.558,0.823052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,523.779,182.318,0.853813,520.652,324.776,0.734041,418.817,320.055,0.655593,352.981,481.468,0.723463,382.709,572.354,0.0856817,630.299,332.565,0.690337,667.896,489.293,0.657557,652.202,572.346,0.196218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.69,168.129,0.898143,547.313,168.081,0.896028,472.065,197.912,0.724547,578.561,202.589,0.820699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,523.752,182.292,0.869506,520.648,323.258,0.732992,418.803,320.068,0.64943,353.01,483.061,0.715059,381.22,572.352,0.0767252,630.293,331.069,0.688481,669.42,486.18,0.661996,652.2,572.347,0.204995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.694,168.094,0.89369,547.278,168.06,0.895991,472.03,197.901,0.759661,577.022,201,0.803726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,508.169,182.261,0.90604,509.683,324.809,0.710191,407.795,329.471,0.645035,357.679,494.016,0.756187,390.56,572.351,0.113828,619.322,323.216,0.671585,664.735,481.426,0.648031,653.754,572.344,0.176082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.056,168.081,0.934385,533.154,168.059,0.93955,456.413,202.584,0.828743,559.774,202.552,0.833953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,508.144,182.26,0.910694,509.659,327.891,0.724234,407.807,329.513,0.654467,357.663,493.957,0.75795,390.572,572.347,0.144574,619.291,324.767,0.658778,661.649,481.459,0.64063,653.761,572.342,0.200293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.054,168.093,0.9394,533.145,168.068,0.944191,456.388,202.609,0.823695,559.767,202.563,0.837446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,508.138,182.294,0.905971,509.669,326.359,0.711774,407.832,329.511,0.637908,357.67,493.966,0.755639,389.007,572.345,0.169038,619.281,323.227,0.66116,663.168,479.843,0.649892,652.228,572.343,0.23065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.053,168.098,0.93586,533.143,168.068,0.944739,456.405,201.045,0.818069,559.769,202.588,0.841263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,508.144,182.297,0.902517,509.665,326.372,0.714758,407.82,329.502,0.647848,357.645,493.977,0.755154,389.032,572.349,0.140557,619.317,323.249,0.660347,663.153,479.871,0.643135,653.753,572.344,0.210957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.068,168.102,0.936675,533.135,168.082,0.950179,456.398,202.566,0.822175,559.762,202.56,0.840772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,508.143,182.297,0.902928,509.664,326.373,0.714796,407.821,329.502,0.647511,357.649,493.982,0.756093,389.028,572.348,0.138845,619.319,323.247,0.660309,661.646,479.863,0.644929,653.753,572.344,0.212264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.068,168.103,0.936985,533.134,168.082,0.949896,456.398,202.567,0.823066,559.762,202.559,0.840558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,508.141,182.301,0.903296,509.669,326.339,0.713232,407.834,329.509,0.640482,357.665,493.962,0.758999,388.997,572.344,0.167416,619.299,323.215,0.669487,664.731,479.905,0.663675,652.207,572.341,0.262868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.069,168.105,0.935444,533.137,168.095,0.950015,456.422,204.112,0.843367,559.756,202.568,0.844062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,508.162,182.294,0.897982,509.663,326.344,0.71672,407.81,329.497,0.650536,357.7,493.98,0.739735,389.014,572.345,0.142655,619.327,323.224,0.670358,663.198,479.854,0.64622,652.216,572.342,0.272454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.077,168.104,0.934321,533.138,168.088,0.950543,456.438,204.122,0.845693,559.764,202.557,0.840345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,508.157,182.276,0.905235,509.686,326.359,0.706634,407.83,329.493,0.641375,357.659,493.945,0.747114,387.474,572.344,0.149918,619.293,323.253,0.657848,664.744,481.389,0.660194,652.194,572.341,0.238573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.071,168.106,0.933518,533.148,168.074,0.94062,456.424,202.612,0.835266,559.777,202.589,0.837143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,508.155,182.263,0.9121,509.659,326.351,0.711325,407.819,329.502,0.64566,357.697,493.976,0.740442,388.997,572.345,0.126891,619.311,323.244,0.659479,664.742,481.455,0.652529,652.228,572.343,0.213293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.08,168.101,0.929403,533.14,168.079,0.942278,456.439,204.115,0.829587,559.79,202.582,0.83897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,509.62,182.274,0.896989,509.656,326.335,0.709998,407.82,329.494,0.639742,357.686,492.441,0.731408,384.335,572.339,0.0722616,619.31,323.234,0.668501,664.735,481.439,0.649121,653.752,572.343,0.263054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.079,168.082,0.924674,533.18,168.066,0.930926,456.435,202.582,0.807293,559.792,204.106,0.841586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,509.621,182.272,0.897303,509.648,326.341,0.714074,407.824,329.501,0.640156,357.683,492.437,0.730042,384.354,572.339,0.0734809,619.312,323.226,0.670246,664.729,481.42,0.644623,652.23,572.344,0.268779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.08,168.083,0.925277,533.18,168.066,0.93228,456.44,202.617,0.816346,559.792,204.105,0.841927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,508.166,182.212,0.916562,509.685,324.808,0.698937,407.83,330.989,0.634058,357.69,493.933,0.700606,0,0,0,619.323,321.699,0.670524,664.748,481.395,0.656714,652.235,572.345,0.184683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.097,168.066,0.915679,533.17,168.029,0.921767,457.926,205.678,0.829063,559.831,204.115,0.835858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,509.622,180.653,0.907976,509.699,324.783,0.701708,407.834,329.495,0.640887,353.011,484.611,0.667586,395.284,558.194,0.465432,619.363,321.683,0.683479,666.289,479.855,0.629029,653.759,572.344,0.207979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.107,166.547,0.901458,533.199,166.524,0.900577,457.97,205.757,0.873291,559.823,204.158,0.850695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,509.62,179.098,0.882244,509.678,324.785,0.708102,407.831,330.988,0.640686,351.414,478.3,0.589101,390.61,531.56,0.523882,619.347,321.667,0.677821,666.329,481.396,0.654531,652.225,572.347,0.195555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.112,163.422,0.877153,533.225,163.447,0.880973,457.956,205.675,0.8753,559.838,204.168,0.85063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,509.639,177.528,0.856749,509.649,324.802,0.720194,407.791,327.926,0.648805,338.903,490.833,0.399971,406.232,484.584,0.394087,619.353,321.701,0.659789,667.862,481.403,0.665486,652.227,572.348,0.208702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.57,158.775,0.891691,533.229,160.272,0.889449,457.95,204.18,0.858993,559.84,204.171,0.855403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,508.165,175.932,0.85092,512.773,327.891,0.695604,409.372,327.918,0.607067,343.615,497.124,0.630942,399.963,409.391,0.567967,619.353,321.688,0.655963,667.861,482.979,0.66276,653.771,572.349,0.192323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.56,158.71,0.90233,534.69,158.714,0.90763,457.996,205.694,0.879467,559.841,204.118,0.841338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,509.622,174.386,0.848702,514.337,320.137,0.702993,412.516,321.67,0.538034,342.02,484.584,0.611586,401.558,368.666,0.409323,619.324,321.658,0.65557,667.864,481.423,0.643469,652.225,572.347,0.23688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.576,157.256,0.907264,533.243,157.248,0.918433,457.974,204.137,0.853031,559.831,202.573,0.82944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,509.629,174.405,0.849248,517.456,320.149,0.690951,425.047,320.116,0.40285,334.181,476.731,0.673121,404.639,337.309,0.574127,619.346,321.692,0.643758,667.902,481.391,0.667078,652.216,572.345,0.244293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.573,157.255,0.909486,533.234,157.254,0.914041,457.956,201.034,0.837797,559.818,202.576,0.828727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,508.156,175.959,0.859558,515.886,320.106,0.671784,420.37,316.971,0.459724,334.218,467.332,0.694703,399.966,329.507,0.699901,619.308,321.683,0.65062,667.884,481.433,0.641969,652.215,572.347,0.229341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.591,158.71,0.903317,534.685,158.711,0.904754,458.029,196.375,0.803492,559.832,204.103,0.836603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,509.642,177.508,0.854662,514.354,320.112,0.659755,415.64,318.499,0.460174,338.863,458.015,0.683274,398.462,315.401,0.652786,619.355,321.685,0.658017,667.859,481.402,0.657449,652.23,572.346,0.159052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.601,158.726,0.899121,534.695,158.774,0.886698,459.529,194.802,0.747254,561.331,204.127,0.84069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,509.707,179.071,0.854257,518.98,321.669,0.68175,421.914,321.683,0.484577,343.537,454.834,0.673097,403.136,305.941,0.680562,619.323,321.678,0.670517,667.84,479.884,0.642094,652.195,572.346,0.181397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.648,160.268,0.869095,534.73,161.866,0.867929,458.031,196.374,0.776138,561.337,204.163,0.842401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,511.228,180.585,0.869522,514.342,323.24,0.644427,414.095,326.371,0.477623,345.169,454.833,0.694644,404.637,299.747,0.657945,619.276,323.197,0.652288,664.769,479.852,0.640178,650.629,572.344,0.16935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.706,160.332,0.845808,534.75,164.966,0.865865,457.92,201.034,0.687161,561.327,205.644,0.844149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,512.785,180.647,0.882927,518.991,323.244,0.691305,420.37,326.376,0.500334,352.984,456.368,0.688173,396.897,305.949,0.641207,617.765,323.201,0.655267,663.17,476.762,0.632877,652.197,572.34,0.209465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.256,165.023,0.853521,536.307,166.569,0.875932,456.448,194.719,0.749447,561.332,204.174,0.843867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,512.798,182.179,0.888344,515.886,326.361,0.652004,417.212,329.476,0.478819,356.144,459.503,0.718188,398.42,310.698,0.584636,619.277,323.24,0.656528,664.748,478.338,0.642218,650.661,572.345,0.218985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.296,166.589,0.881221,537.832,168.051,0.885532,459.541,194.739,0.73568,561.368,205.647,0.839224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,512.799,182.183,0.889448,515.899,326.339,0.653217,417.232,329.46,0.48183,356.143,459.5,0.719815,398.422,310.72,0.5968,619.276,323.246,0.656199,664.747,479.836,0.643928,650.659,572.345,0.221994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.298,166.589,0.881326,537.83,168.049,0.885809,459.538,194.734,0.739478,561.37,205.642,0.837342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,515.906,182.271,0.89009,518.98,324.783,0.67108,421.948,326.338,0.470291,357.709,464.194,0.704809,404.703,313.807,0.580765,619.285,323.204,0.658043,666.286,478.328,0.639562,652.212,572.341,0.208876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.811,168.063,0.888295,537.873,168.083,0.889573,459.491,201.023,0.710556,562.928,204.184,0.824143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,517.421,182.279,0.888113,517.478,321.698,0.674397,420.375,324.796,0.466417,359.283,465.786,0.705373,407.787,310.714,0.597742,619.312,323.201,0.659463,666.319,476.732,0.639586,652.23,572.342,0.225644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.836,168.076,0.89781,539.403,168.092,0.892889,461.105,204.18,0.782396,562.945,204.153,0.817887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,517.463,182.312,0.889432,517.509,321.635,0.683115,421.921,321.69,0.453211,365.519,467.344,0.691532,409.434,320.113,0.693433,619.289,323.212,0.650698,666.33,476.736,0.623923,653.75,572.341,0.242405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.858,168.097,0.907568,539.413,168.131,0.901546,461.086,204.166,0.784668,562.901,205.644,0.833417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,517.446,183.818,0.859129,517.439,320.075,0.705191,418.798,318.48,0.506403,370.184,468.964,0.72259,418.774,320.089,0.546975,619.318,324.775,0.655637,667.871,478.33,0.634927,653.762,572.343,0.183973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.354,168.111,0.911287,539.42,168.169,0.899797,461.091,204.13,0.778793,561.387,205.661,0.840396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
