frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
0,534.752,185.338,0.837476,544.174,307.553,0.789606,448.551,304.407,0.646492,359.31,425.071,0.738531,498.67,329.454,0.581735,642.799,316.964,0.558352,725.857,472.062,0.758327,645.969,376.466,0.604389,520.602,572.336,0.152263,443.87,572.326,0.236325,0,0,0,0,0,0,602.083,572.336,0.0944807,0,0,0,0,0,0,515.881,169.775,0.876231,553.538,168.087,0.891059,486.173,193.246,0.88279,580.105,186.929,0.84088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,533.235,169.778,0.881147,545.649,315.363,0.780964,446.965,309.109,0.671186,404.698,470.546,0.766126,445.439,572.361,0.138638,644.387,318.476,0.609194,672.606,495.612,0.682548,614.602,572.359,0.0815232,519.08,572.339,0.134921,472.06,572.339,0.11577,0,0,0,0,0,0,570.758,572.342,0.0763224,0,0,0,0,0,0,514.356,160.334,0.856333,553.511,157.128,0.901767,492.437,196.306,0.880031,581.752,186.945,0.892121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,534.7,169.781,0.871431,545.643,316.9,0.784122,445.462,309.132,0.676147,404.669,472.062,0.750501,443.89,572.359,0.122027,644.397,318.488,0.604843,674.129,495.568,0.68603,616.189,572.359,0.0838351,522.164,572.343,0.104363,472.067,572.342,0.0889729,0,0,0,0,0,0,572.332,572.344,0.0569755,0,0,0,0,0,0,515.905,160.333,0.860437,555.023,157.138,0.909205,493.893,194.825,0.89248,581.754,188.479,0.90077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,536.266,169.777,0.850607,545.677,316.906,0.7712,446.984,310.691,0.65065,404.676,473.604,0.748852,442.268,572.359,0.180659,644.4,318.463,0.6106,672.632,495.538,0.68511,616.204,572.357,0.0819919,522.173,572.342,0.126015,472.038,572.339,0.121654,0,0,0,0,0,0,573.874,572.343,0.0678846,0,0,0,0,0,0,517.428,160.328,0.867488,556.556,157.126,0.936186,493.92,194.788,0.910778,581.777,186.935,0.899061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,537.871,171.271,0.82188,545.674,316.922,0.776883,445.472,312.231,0.64709,404.709,473.649,0.743209,439.17,572.358,0.241257,645.909,318.468,0.605871,674.17,494.032,0.681759,616.171,572.353,0.0949356,520.603,572.342,0.120279,467.34,572.341,0.117671,0,0,0,0,0,0,570.763,572.343,0.0581251,0,0,0,0,0,0,517.495,161.864,0.877106,556.6,157.152,0.95002,493.928,194.762,0.91727,581.785,188.473,0.902011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,540.973,172.803,0.822252,545.676,315.371,0.766597,445.485,310.685,0.665627,403.14,470.502,0.771692,431.255,545.63,0.643681,645.919,316.98,0.601949,672.625,494.027,0.685905,616.164,572.353,0.098571,522.214,572.339,0.124732,470.49,572.342,0.109999,0,0,0,0,0,0,573.895,572.344,0.0866737,0,0,0,0,0,0,518.978,163.403,0.886676,556.653,157.215,0.949148,492.438,194.754,0.910324,581.766,186.932,0.898023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,542.494,174.366,0.818339,545.65,313.83,0.767353,447.006,309.147,0.667896,396.892,470.506,0.582735,420.377,497.103,0.135867,644.335,316.942,0.584963,672.597,493.951,0.670923,616.196,572.354,0.0875334,517.483,572.341,0.158941,453.243,572.336,0.171496,0,0,0,0,0,0,566.04,572.347,0.10679,0,0,0,0,0,0,519.005,163.455,0.896434,556.656,158.71,0.938842,492.442,194.75,0.914131,581.725,186.94,0.888847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,542.56,175.955,0.835249,545.635,312.269,0.764532,447.018,307.621,0.679157,423.512,432.892,0.263154,399.991,464.236,0.37718,642.818,316.941,0.577678,672.623,493.983,0.661062,616.198,572.354,0.108893,512.767,572.342,0.170352,454.829,572.331,0.208299,0,0,0,0,0,0,562.922,572.344,0.108492,0,0,0,0,0,0,518.993,164.955,0.891511,556.664,158.778,0.927762,492.393,194.715,0.903875,581.683,186.912,0.882946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,544.059,179.062,0.875668,545.634,315.357,0.770509,445.48,309.14,0.660224,389.032,492.4,0.670665,417.183,442.289,0.533596,642.819,318.488,0.584073,672.617,494.038,0.676434,616.162,572.353,0.110587,508.082,572.342,0.1198,450.107,572.331,0.172677,0,0,0,0,0,0,562.929,572.344,0.0671776,0,0,0,0,0,0,519.036,166.526,0.918873,556.686,160.323,0.91412,492.37,193.261,0.897984,581.66,185.385,0.877757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,544.096,180.589,0.913987,545.659,315.365,0.773443,450.096,310.708,0.615238,384.364,492.435,0.761292,406.271,423.509,0.63076,641.248,316.925,0.57387,674.127,495.519,0.65692,617.71,572.35,0.118079,508.086,572.341,0.151048,448.574,572.333,0.223115,0,0,0,0,0,0,559.786,572.345,0.089021,0,0,0,0,0,0,519.078,168.053,0.951462,558.148,163.408,0.9054,492.358,193.263,0.892761,581.651,185.379,0.87385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
